class_index,class_name,precision,recall,f1,support
4,english marigold,0.0000,0.0000,0.0000,45
5,tiger lily,0.0000,0.0000,0.0000,25
10,snapdragon,0.0000,0.0000,0.0000,67
26,prince of wales feathers,0.0000,0.0000,0.0000,20
40,barbeton daisy,0.0000,0.0000,0.0000,107
44,bolero deep blue,0.0000,0.0000,0.0000,20
55,bishop of llandaff,0.0000,0.0000,0.0000,89
62,black-eyed susan,0.0000,0.0000,0.0000,34
63,silverbush,0.0000,0.0000,0.0000,32
66,spring crocus,0.0000,0.0000,0.0000,22
79,anthurium,0.0000,0.0000,0.0000,85
83,columbine,0.0000,0.0000,0.0000,66
89,canna lily,0.0000,0.0000,0.0000,62
101,blackberry lily,0.0000,0.0000,0.0000,28
82,hibiscus,0.0333,0.0090,0.0142,111
81,clematis,0.1667,0.0109,0.0204,92
50,petunia,0.2727,0.0126,0.0241,238
49,common dandelion,0.2000,0.0139,0.0260,72
94,bougainvillea,0.0800,0.0185,0.0301,108
21,pincushion flower,0.2500,0.0256,0.0465,39
30,carnation,0.0179,0.0312,0.0227,32
88,watercress,0.6667,0.0366,0.0694,164
31,garden phlox,0.0172,0.0400,0.0241,25
96,mallow,0.0455,0.0435,0.0444,46
98,bromelia,0.0741,0.0465,0.0571,43
24,grape hyacinth,0.0256,0.0476,0.0333,21
64,californian poppy,0.1290,0.0488,0.0708,82
2,canterbury bells,0.0625,0.0500,0.0556,20
37,great masterwort,0.0588,0.0556,0.0571,36
54,pelargonium,0.4286,0.0588,0.1034,51
77,lotus,0.4375,0.0598,0.1053,117
29,sweet william,0.1379,0.0615,0.0851,65
42,sword lily,0.2188,0.0636,0.0986,110
39,lenten rose,0.1500,0.0638,0.0896,47
69,tree poppy,0.1200,0.0714,0.0896,42
65,osteospermum,0.6000,0.0732,0.1304,41
8,monkshood,0.0357,0.0769,0.0488,26
92,ball moss,0.0741,0.0769,0.0755,26
3,sweet pea,0.2727,0.0833,0.1277,36
91,bee balm,0.0769,0.0870,0.0816,46
67,bearded iris,0.1765,0.0882,0.1176,34
75,morning glory,0.2667,0.0920,0.1368,87
71,azalea,0.3182,0.0921,0.1429,76
73,rose,0.1304,0.0993,0.1128,151
0,pink primrose,0.1250,0.1000,0.1111,20
60,cautleya spicata,0.1765,0.1000,0.1277,30
41,daffodil,0.0833,0.1026,0.0920,39
52,primula,0.1096,0.1096,0.1096,73
95,camellia,0.1818,0.1127,0.1391,71
17,peruvian lily,0.1167,0.1129,0.1148,62
28,artichoke,0.2414,0.1207,0.1609,58
87,cyclamen,0.2836,0.1418,0.1891,134
15,globe-flower,0.3333,0.1429,0.2000,21
38,siam tulip,0.1154,0.1429,0.1277,21
80,frangipani,0.2917,0.1438,0.1927,146
45,wallflower,0.2889,0.1477,0.1955,176
32,love in the mist,0.2667,0.1538,0.1951,26
90,hippeastrum,0.1406,0.1607,0.1500,56
72,water lily,0.2617,0.1609,0.1993,174
19,giant white arum lily,0.0882,0.1667,0.1154,36
61,japanese anemone,0.0583,0.1714,0.0870,35
12,king protea,0.2778,0.1724,0.2128,29
70,gazania,0.0794,0.1724,0.1087,58
68,windflower,0.5455,0.1765,0.2667,34
97,mexican petunia,0.2200,0.1774,0.1964,62
76,passion flower,0.3684,0.1818,0.2435,231
93,foxglove,0.2000,0.1901,0.1949,142
78,toad lily,0.0274,0.1905,0.0479,21
14,yellow iris,0.1000,0.2069,0.1348,29
18,balloon flower,0.1765,0.2069,0.1905,29
86,magnolia,0.1042,0.2326,0.1439,43
59,pink-yellow dahlia?,0.3088,0.2360,0.2675,89
22,fritillary,0.1910,0.2394,0.2125,71
46,marigold,0.0401,0.2553,0.0694,47
43,poinsettia,0.2346,0.2603,0.2468,73
27,stemless gentian,0.2131,0.2826,0.2430,46
85,tree mallow,0.3333,0.2895,0.3099,38
33,mexican aster,0.1818,0.3000,0.2264,20
84,desert-rose,0.1287,0.3023,0.1806,43
47,buttercup,0.1046,0.3137,0.1569,51
100,trumpet creeper,0.2182,0.3158,0.2581,38
25,corn poppy,0.0737,0.3333,0.1207,21
23,red ginger,0.1600,0.3636,0.2222,22
16,purple coneflower,0.6667,0.4000,0.5000,65
20,fire lily,0.0842,0.4000,0.1391,20
58,orange dahlia,0.5278,0.4043,0.4578,47
35,ruby-lipped cattleya,0.1825,0.4182,0.2541,55
74,thorn apple,0.3507,0.4700,0.4017,100
36,cape flower,0.3643,0.5341,0.4332,88
56,gaura,0.2333,0.5957,0.3353,47
11,colt's foot,0.1190,0.5970,0.1985,67
6,moon orchid,0.2400,0.6000,0.3429,20
7,bird of paradise,0.1757,0.6000,0.2718,65
53,sunflower,0.2907,0.6098,0.3937,41
9,globe thistle,0.2540,0.6400,0.3636,25
48,oxeye daisy,0.1484,0.6552,0.2420,29
99,blanket flower,0.2603,0.6552,0.3725,29
1,hard-leaved pocket orchid,0.5870,0.6750,0.6279,40
13,spear thistle,0.1919,0.6786,0.2992,28
51,wild pansy,0.5843,0.8000,0.6753,65
34,alpine sea holly,0.0642,0.8261,0.1191,23
57,geranium,0.2909,0.8511,0.4336,94
