class_index,class_name,precision,recall,f1,support
3,sweet pea,0.6667,0.5556,0.6061,36
50,petunia,0.9605,0.6134,0.7487,238
42,sword lily,0.9500,0.6909,0.8000,110
82,hibiscus,0.8191,0.6937,0.7512,111
2,canterbury bells,0.5600,0.7000,0.6222,20
31,garden phlox,0.4091,0.7200,0.5217,25
73,rose,0.9487,0.7351,0.8284,151
71,azalea,0.9492,0.7368,0.8296,76
29,sweet william,0.8727,0.7385,0.8000,65
52,primula,0.9643,0.7397,0.8372,73
94,bougainvillea,0.9877,0.7407,0.8466,108
89,canna lily,0.8519,0.7419,0.7931,62
10,snapdragon,0.8621,0.7463,0.8000,67
83,columbine,0.8929,0.7576,0.8197,66
18,balloon flower,0.6286,0.7586,0.6875,29
96,mallow,0.6140,0.7609,0.6796,46
66,spring crocus,1.0000,0.7727,0.8718,22
95,camellia,0.7534,0.7746,0.7639,71
87,cyclamen,0.7754,0.7985,0.7868,134
25,corn poppy,0.6071,0.8095,0.6939,21
77,lotus,0.8919,0.8462,0.8684,117
81,clematis,0.9512,0.8478,0.8966,92
22,fritillary,0.9839,0.8592,0.9173,71
30,carnation,0.7568,0.8750,0.8116,32
5,tiger lily,0.9167,0.8800,0.8980,25
67,bearded iris,0.9677,0.8824,0.9231,34
90,hippeastrum,0.9091,0.8929,0.9009,56
75,morning glory,0.8864,0.8966,0.8914,87
40,barbeton daisy,0.9796,0.8972,0.9366,107
33,mexican aster,0.9474,0.9000,0.9231,20
64,californian poppy,0.8916,0.9024,0.8970,82
17,peruvian lily,0.8615,0.9032,0.8819,62
97,mexican petunia,0.8750,0.9032,0.8889,62
88,watercress,0.8663,0.9085,0.8869,164
91,bee balm,0.9767,0.9130,0.9438,46
61,japanese anemone,0.9143,0.9143,0.9143,35
39,lenten rose,0.8600,0.9149,0.8866,47
93,foxglove,0.9630,0.9155,0.9386,142
37,great masterwort,0.6875,0.9167,0.7857,36
76,passion flower,0.9953,0.9177,0.9550,231
8,monkshood,0.8000,0.9231,0.8571,26
35,ruby-lipped cattleya,0.9623,0.9273,0.9444,55
98,bromelia,0.9524,0.9302,0.9412,43
28,artichoke,0.9818,0.9310,0.9558,58
4,english marigold,0.9130,0.9333,0.9231,45
47,buttercup,0.9412,0.9412,0.9412,51
72,water lily,0.9483,0.9483,0.9483,174
21,pincushion flower,0.7872,0.9487,0.8605,39
1,hard-leaved pocket orchid,1.0000,0.9500,0.9744,40
53,sunflower,1.0000,0.9512,0.9750,41
15,globe-flower,0.5405,0.9524,0.6897,21
38,siam tulip,0.8333,0.9524,0.8889,21
84,desert-rose,0.5000,0.9535,0.6560,43
86,magnolia,0.8039,0.9535,0.8723,43
11,colt's foot,0.9697,0.9552,0.9624,67
32,love in the mist,0.8621,0.9615,0.9091,26
92,ball moss,0.9259,0.9615,0.9434,26
79,anthurium,0.7961,0.9647,0.8723,85
55,bishop of llandaff,0.9663,0.9663,0.9663,89
16,purple coneflower,1.0000,0.9692,0.9844,65
68,windflower,0.8684,0.9706,0.9167,34
45,wallflower,0.9344,0.9716,0.9526,176
19,giant white arum lily,0.8333,0.9722,0.8974,36
43,poinsettia,0.8765,0.9726,0.9221,73
100,trumpet creeper,0.7551,0.9737,0.8506,38
41,daffodil,0.7451,0.9744,0.8444,39
36,cape flower,0.9451,0.9773,0.9609,88
27,stemless gentian,0.7500,0.9783,0.8491,46
56,gaura,0.8846,0.9787,0.9293,47
74,thorn apple,0.8991,0.9800,0.9378,100
54,pelargonium,0.8621,0.9804,0.9174,51
49,common dandelion,0.9595,0.9861,0.9726,72
0,pink primrose,0.7143,1.0000,0.8333,20
6,moon orchid,0.9524,1.0000,0.9756,20
7,bird of paradise,0.9848,1.0000,0.9924,65
9,globe thistle,0.8929,1.0000,0.9434,25
12,king protea,1.0000,1.0000,1.0000,29
13,spear thistle,0.8750,1.0000,0.9333,28
14,yellow iris,0.9062,1.0000,0.9508,29
20,fire lily,0.9524,1.0000,0.9756,20
23,red ginger,0.8148,1.0000,0.8980,22
24,grape hyacinth,0.7500,1.0000,0.8571,21
26,prince of wales feathers,0.8696,1.0000,0.9302,20
34,alpine sea holly,0.9200,1.0000,0.9583,23
44,bolero deep blue,0.9091,1.0000,0.9524,20
46,marigold,1.0000,1.0000,1.0000,47
48,oxeye daisy,0.9062,1.0000,0.9508,29
51,wild pansy,0.9701,1.0000,0.9848,65
57,geranium,0.9895,1.0000,0.9947,94
58,orange dahlia,1.0000,1.0000,1.0000,47
59,pink-yellow dahlia?,0.9468,1.0000,0.9727,89
60,cautleya spicata,0.9677,1.0000,0.9836,30
62,black-eyed susan,1.0000,1.0000,1.0000,34
63,silverbush,0.8889,1.0000,0.9412,32
65,osteospermum,0.9535,1.0000,0.9762,41
69,tree poppy,0.9545,1.0000,0.9767,42
70,gazania,1.0000,1.0000,1.0000,58
78,toad lily,1.0000,1.0000,1.0000,21
80,frangipani,0.9799,1.0000,0.9898,146
85,tree mallow,0.7600,1.0000,0.8636,38
99,blanket flower,0.9667,1.0000,0.9831,29
101,blackberry lily,0.9032,1.0000,0.9492,28
