class_index,class_name,precision,recall,f1,support
3,sweet pea,0.7692,0.5556,0.6452,36
95,camellia,0.7963,0.6056,0.6880,71
82,hibiscus,0.8000,0.6126,0.6939,111
50,petunia,0.9682,0.6387,0.7696,238
89,canna lily,0.9091,0.6452,0.7547,62
2,canterbury bells,0.4483,0.6500,0.5306,20
83,columbine,0.8776,0.6515,0.7478,66
52,primula,0.9273,0.6986,0.7969,73
38,siam tulip,0.7500,0.7143,0.7317,21
42,sword lily,0.8791,0.7273,0.7960,110
71,azalea,0.9492,0.7368,0.8296,76
29,sweet william,0.7778,0.7538,0.7656,65
18,balloon flower,0.8462,0.7586,0.8000,29
31,garden phlox,0.5135,0.7600,0.6129,25
39,lenten rose,0.9231,0.7660,0.8372,47
66,spring crocus,0.8947,0.7727,0.8293,22
96,mallow,0.5143,0.7826,0.6207,46
87,cyclamen,0.8346,0.7910,0.8123,134
25,corn poppy,0.6538,0.8095,0.7234,21
30,carnation,0.7429,0.8125,0.7761,32
73,rose,0.8723,0.8146,0.8425,151
22,fritillary,1.0000,0.8169,0.8992,71
4,english marigold,0.9487,0.8222,0.8810,45
75,morning glory,0.9231,0.8276,0.8727,87
81,clematis,0.9625,0.8370,0.8953,92
90,hippeastrum,0.9400,0.8393,0.8868,56
8,monkshood,0.9565,0.8462,0.8980,26
10,snapdragon,0.8261,0.8507,0.8382,67
67,bearded iris,0.8529,0.8529,0.8529,34
97,mexican petunia,0.8833,0.8548,0.8689,62
61,japanese anemone,0.8824,0.8571,0.8696,35
37,great masterwort,0.7949,0.8611,0.8267,36
77,lotus,0.8559,0.8632,0.8596,117
40,barbeton daisy,0.9789,0.8692,0.9208,107
94,bougainvillea,0.8624,0.8704,0.8664,108
17,peruvian lily,0.9310,0.8710,0.9000,62
1,hard-leaved pocket orchid,1.0000,0.8750,0.9333,40
5,tiger lily,0.9167,0.8800,0.8980,25
88,watercress,0.9068,0.8902,0.8985,164
35,ruby-lipped cattleya,1.0000,0.8909,0.9423,55
33,mexican aster,0.9474,0.9000,0.9231,20
64,californian poppy,0.8409,0.9024,0.8706,82
86,magnolia,0.7091,0.9070,0.7959,43
74,thorn apple,0.9785,0.9100,0.9430,100
98,bromelia,0.9756,0.9302,0.9524,43
93,foxglove,0.9779,0.9366,0.9568,142
76,passion flower,1.0000,0.9437,0.9710,231
55,bishop of llandaff,0.9438,0.9438,0.9438,89
100,trumpet creeper,0.7826,0.9474,0.8571,38
28,artichoke,0.9649,0.9483,0.9565,58
41,daffodil,0.5873,0.9487,0.7255,39
53,sunflower,1.0000,0.9512,0.9750,41
15,globe-flower,0.5714,0.9524,0.7143,21
84,desert-rose,0.9111,0.9535,0.9318,43
16,purple coneflower,1.0000,0.9538,0.9764,65
9,globe thistle,0.9231,0.9600,0.9412,25
92,ball moss,0.9259,0.9615,0.9434,26
12,king protea,1.0000,0.9655,0.9825,29
11,colt's foot,0.9848,0.9701,0.9774,67
72,water lily,0.9548,0.9713,0.9630,174
49,common dandelion,0.9722,0.9722,0.9722,72
43,poinsettia,0.9342,0.9726,0.9530,73
80,frangipani,0.9530,0.9726,0.9627,146
85,tree mallow,0.6727,0.9737,0.7957,38
21,pincushion flower,0.7917,0.9744,0.8736,39
91,bee balm,0.9574,0.9783,0.9677,46
56,gaura,0.9200,0.9787,0.9485,47
47,buttercup,0.8772,0.9804,0.9259,51
51,wild pansy,1.0000,0.9846,0.9922,65
79,anthurium,0.7500,0.9882,0.8528,85
36,cape flower,0.9457,0.9886,0.9667,88
57,geranium,0.8857,0.9894,0.9347,94
45,wallflower,0.8929,0.9943,0.9409,176
0,pink primrose,0.8696,1.0000,0.9302,20
6,moon orchid,0.6452,1.0000,0.7843,20
7,bird of paradise,1.0000,1.0000,1.0000,65
13,spear thistle,0.8750,1.0000,0.9333,28
14,yellow iris,0.7250,1.0000,0.8406,29
19,giant white arum lily,0.7059,1.0000,0.8276,36
20,fire lily,0.8000,1.0000,0.8889,20
23,red ginger,0.9167,1.0000,0.9565,22
24,grape hyacinth,0.7500,1.0000,0.8571,21
26,prince of wales feathers,0.9091,1.0000,0.9524,20
27,stemless gentian,0.6301,1.0000,0.7731,46
32,love in the mist,0.9630,1.0000,0.9811,26
34,alpine sea holly,0.8519,1.0000,0.9200,23
44,bolero deep blue,0.9091,1.0000,0.9524,20
46,marigold,0.9792,1.0000,0.9895,47
48,oxeye daisy,0.8788,1.0000,0.9355,29
54,pelargonium,0.7612,1.0000,0.8644,51
58,orange dahlia,0.9400,1.0000,0.9691,47
59,pink-yellow dahlia?,0.9780,1.0000,0.9889,89
60,cautleya spicata,0.9677,1.0000,0.9836,30
62,black-eyed susan,1.0000,1.0000,1.0000,34
63,silverbush,0.8000,1.0000,0.8889,32
65,osteospermum,0.9535,1.0000,0.9762,41
68,windflower,0.8293,1.0000,0.9067,34
69,tree poppy,0.9767,1.0000,0.9882,42
70,gazania,0.9831,1.0000,0.9915,58
78,toad lily,1.0000,1.0000,1.0000,21
99,blanket flower,1.0000,1.0000,1.0000,29
101,blackberry lily,0.9032,1.0000,0.9492,28
