class_index,class_name,precision,recall,f1,support
2,canterbury bells,0.3333,0.3500,0.3415,20
3,sweet pea,0.4571,0.4444,0.4507,36
42,sword lily,0.8750,0.5091,0.6437,110
82,hibiscus,0.8923,0.5225,0.6591,111
50,petunia,0.9357,0.5504,0.6931,238
83,columbine,0.8298,0.5909,0.6903,66
52,primula,0.9778,0.6027,0.7458,73
95,camellia,0.6324,0.6056,0.6187,71
10,snapdragon,0.8269,0.6418,0.7227,67
73,rose,0.9009,0.6623,0.7634,151
81,clematis,0.9104,0.6630,0.7673,92
31,garden phlox,0.4474,0.6800,0.5397,25
89,canna lily,0.7414,0.6935,0.7167,62
94,bougainvillea,0.8929,0.6944,0.7812,108
71,azalea,0.8871,0.7237,0.7971,76
96,mallow,0.6182,0.7391,0.6733,46
30,carnation,0.6667,0.7500,0.7059,32
87,cyclamen,0.7410,0.7687,0.7546,134
18,balloon flower,0.6970,0.7931,0.7419,29
29,sweet william,0.7324,0.8000,0.7647,65
39,lenten rose,0.6441,0.8085,0.7170,47
25,corn poppy,0.4722,0.8095,0.5965,21
100,trumpet creeper,0.5849,0.8158,0.6813,38
77,lotus,0.8889,0.8205,0.8533,117
17,peruvian lily,0.8500,0.8226,0.8361,62
97,mexican petunia,0.9273,0.8226,0.8718,62
67,bearded iris,0.9333,0.8235,0.8750,34
61,japanese anemone,0.7838,0.8286,0.8056,35
86,magnolia,0.8000,0.8372,0.8182,43
40,barbeton daisy,0.9891,0.8505,0.9146,107
90,hippeastrum,0.8727,0.8571,0.8649,56
66,spring crocus,0.8636,0.8636,0.8636,22
22,fritillary,0.9688,0.8732,0.9185,71
88,watercress,0.8430,0.8841,0.8631,164
75,morning glory,0.8280,0.8851,0.8556,87
64,californian poppy,0.9125,0.8902,0.9012,82
33,mexican aster,0.8571,0.9000,0.8780,20
54,pelargonium,0.9200,0.9020,0.9109,51
15,globe-flower,0.5278,0.9048,0.6667,21
98,bromelia,0.9286,0.9070,0.9176,43
35,ruby-lipped cattleya,0.9434,0.9091,0.9259,55
45,wallflower,0.9302,0.9091,0.9195,176
11,colt's foot,0.9683,0.9104,0.9385,67
56,gaura,0.9149,0.9149,0.9149,47
37,great masterwort,0.7021,0.9167,0.7952,36
5,tiger lily,0.9583,0.9200,0.9388,25
21,pincushion flower,0.7660,0.9231,0.8372,39
41,daffodil,0.6429,0.9231,0.7579,39
92,ball moss,0.8889,0.9231,0.9057,26
76,passion flower,0.9817,0.9264,0.9532,231
93,foxglove,0.9362,0.9296,0.9329,142
4,english marigold,0.8750,0.9333,0.9032,45
47,buttercup,0.9600,0.9412,0.9505,51
19,giant white arum lily,0.7907,0.9444,0.8608,36
28,artichoke,0.9649,0.9483,0.9565,58
72,water lily,0.9270,0.9483,0.9375,174
0,pink primrose,0.5938,0.9500,0.7308,20
1,hard-leaved pocket orchid,1.0000,0.9500,0.9744,40
6,moon orchid,0.7917,0.9500,0.8636,20
44,bolero deep blue,0.6786,0.9500,0.7917,20
53,sunflower,0.9512,0.9512,0.9512,41
38,siam tulip,0.6452,0.9524,0.7692,21
16,purple coneflower,1.0000,0.9538,0.9764,65
91,bee balm,0.9362,0.9565,0.9462,46
74,thorn apple,0.7869,0.9600,0.8649,100
8,monkshood,0.6944,0.9615,0.8065,26
32,love in the mist,1.0000,0.9615,0.9804,26
79,anthurium,0.7321,0.9647,0.8325,85
12,king protea,1.0000,0.9655,0.9825,29
68,windflower,0.8462,0.9706,0.9041,34
43,poinsettia,0.7717,0.9726,0.8606,73
85,tree mallow,0.7115,0.9737,0.8222,38
84,desert-rose,0.4468,0.9767,0.6131,43
36,cape flower,0.9348,0.9773,0.9556,88
27,stemless gentian,0.8333,0.9783,0.9000,46
49,common dandelion,0.9221,0.9861,0.9530,72
55,bishop of llandaff,0.8800,0.9888,0.9312,89
57,geranium,0.9789,0.9894,0.9841,94
7,bird of paradise,0.9559,1.0000,0.9774,65
9,globe thistle,0.8929,1.0000,0.9434,25
13,spear thistle,0.8485,1.0000,0.9180,28
14,yellow iris,0.9355,1.0000,0.9667,29
20,fire lily,0.8000,1.0000,0.8889,20
23,red ginger,0.8462,1.0000,0.9167,22
24,grape hyacinth,0.8077,1.0000,0.8936,21
26,prince of wales feathers,0.9524,1.0000,0.9756,20
34,alpine sea holly,0.8214,1.0000,0.9020,23
46,marigold,1.0000,1.0000,1.0000,47
48,oxeye daisy,0.8529,1.0000,0.9206,29
51,wild pansy,0.9420,1.0000,0.9701,65
58,orange dahlia,1.0000,1.0000,1.0000,47
59,pink-yellow dahlia?,0.9570,1.0000,0.9780,89
60,cautleya spicata,0.9375,1.0000,0.9677,30
62,black-eyed susan,1.0000,1.0000,1.0000,34
63,silverbush,0.8889,1.0000,0.9412,32
65,osteospermum,0.8542,1.0000,0.9213,41
69,tree poppy,0.9333,1.0000,0.9655,42
70,gazania,1.0000,1.0000,1.0000,58
78,toad lily,1.0000,1.0000,1.0000,21
80,frangipani,0.9865,1.0000,0.9932,146
99,blanket flower,1.0000,1.0000,1.0000,29
101,blackberry lily,0.9655,1.0000,0.9825,28
