class_index,class_name,precision,recall,f1,support
2,canterbury bells,0.2222,0.3000,0.2553,20
3,sweet pea,0.3191,0.4167,0.3614,36
95,camellia,0.5833,0.4930,0.5344,71
52,primula,0.7200,0.4932,0.5854,73
50,petunia,0.8696,0.5042,0.6383,238
31,garden phlox,0.3250,0.5200,0.4000,25
38,siam tulip,0.4231,0.5238,0.4681,21
10,snapdragon,0.5938,0.5672,0.5802,67
42,sword lily,0.8101,0.5818,0.6772,110
82,hibiscus,0.5200,0.5856,0.5508,111
30,carnation,0.5758,0.5938,0.5846,32
83,columbine,0.6250,0.6061,0.6154,66
75,morning glory,0.8571,0.6207,0.7200,87
73,rose,0.8547,0.6623,0.7463,151
84,desert-rose,0.5179,0.6744,0.5859,43
77,lotus,0.8144,0.6752,0.7383,117
97,mexican petunia,0.6774,0.6774,0.6774,62
81,clematis,0.7079,0.6848,0.6961,92
86,magnolia,0.7500,0.6977,0.7229,43
39,lenten rose,0.5000,0.7021,0.5841,47
100,trumpet creeper,0.7500,0.7105,0.7297,38
66,spring crocus,0.6957,0.7273,0.7111,22
40,barbeton daisy,0.9512,0.7290,0.8254,107
94,bougainvillea,0.6870,0.7315,0.7085,108
90,hippeastrum,0.7736,0.7321,0.7523,56
67,bearded iris,0.6757,0.7353,0.7042,34
71,azalea,0.5657,0.7368,0.6400,76
79,anthurium,0.8514,0.7412,0.7925,85
89,canna lily,0.5679,0.7419,0.6434,62
87,cyclamen,0.7692,0.7463,0.7576,134
17,peruvian lily,0.6620,0.7581,0.7068,62
15,globe-flower,0.5714,0.7619,0.6531,21
85,tree mallow,0.5686,0.7632,0.6517,38
96,mallow,0.5625,0.7826,0.6545,46
29,sweet william,0.7500,0.7846,0.7669,65
41,daffodil,0.7949,0.7949,0.7949,39
44,bolero deep blue,0.4444,0.8000,0.5714,20
91,bee balm,0.8605,0.8043,0.8315,46
25,corn poppy,0.8095,0.8095,0.8095,21
76,passion flower,0.9895,0.8139,0.8931,231
35,ruby-lipped cattleya,0.6429,0.8182,0.7200,55
18,balloon flower,0.7500,0.8276,0.7869,29
61,japanese anemone,0.8529,0.8286,0.8406,35
4,english marigold,0.7037,0.8444,0.7677,45
22,fritillary,1.0000,0.8451,0.9160,71
8,monkshood,0.7097,0.8462,0.7719,26
32,love in the mist,0.8800,0.8462,0.8627,26
92,ball moss,0.7857,0.8462,0.8148,26
56,gaura,0.8511,0.8511,0.8511,47
93,foxglove,0.9603,0.8521,0.9030,142
72,water lily,0.9085,0.8563,0.8817,174
74,thorn apple,0.9149,0.8600,0.8866,100
14,yellow iris,0.6944,0.8621,0.7692,29
47,buttercup,0.7857,0.8627,0.8224,51
43,poinsettia,0.7875,0.8630,0.8235,73
11,colt's foot,0.9206,0.8657,0.8923,67
88,watercress,0.8712,0.8659,0.8685,164
1,hard-leaved pocket orchid,0.9722,0.8750,0.9211,40
51,wild pansy,0.8143,0.8769,0.8444,65
37,great masterwort,0.8889,0.8889,0.8889,36
64,californian poppy,0.9359,0.8902,0.9125,82
21,pincushion flower,0.7292,0.8974,0.8046,39
6,moon orchid,0.7826,0.9000,0.8372,20
20,fire lily,0.8571,0.9000,0.8780,20
33,mexican aster,0.7500,0.9000,0.8182,20
54,pelargonium,0.7667,0.9020,0.8288,51
24,grape hyacinth,0.9048,0.9048,0.9048,21
78,toad lily,0.9500,0.9048,0.9268,21
23,red ginger,0.7143,0.9091,0.8000,22
27,stemless gentian,0.7778,0.9130,0.8400,46
19,giant white arum lily,0.6875,0.9167,0.7857,36
5,tiger lily,0.9583,0.9200,0.9388,25
9,globe thistle,0.8519,0.9200,0.8846,25
45,wallflower,0.8482,0.9205,0.8828,176
16,purple coneflower,1.0000,0.9231,0.9600,65
13,spear thistle,0.9286,0.9286,0.9286,28
98,bromelia,0.9756,0.9302,0.9524,43
49,common dandelion,0.9054,0.9306,0.9178,72
70,gazania,0.9153,0.9310,0.9231,58
80,frangipani,0.9189,0.9315,0.9252,146
58,orange dahlia,0.9565,0.9362,0.9462,47
68,windflower,0.8421,0.9412,0.8889,34
36,cape flower,0.9881,0.9432,0.9651,88
0,pink primrose,0.4750,0.9500,0.6333,20
53,sunflower,0.8125,0.9512,0.8764,41
59,pink-yellow dahlia?,0.9884,0.9551,0.9714,89
34,alpine sea holly,1.0000,0.9565,0.9778,23
28,artichoke,0.8358,0.9655,0.8960,58
48,oxeye daisy,0.8750,0.9655,0.9180,29
99,blanket flower,0.7179,0.9655,0.8235,29
65,osteospermum,0.8163,0.9756,0.8889,41
55,bishop of llandaff,0.9775,0.9775,0.9775,89
46,marigold,1.0000,0.9787,0.9892,47
57,geranium,0.9583,0.9787,0.9684,94
7,bird of paradise,0.9697,0.9846,0.9771,65
12,king protea,0.9062,1.0000,0.9508,29
26,prince of wales feathers,0.9091,1.0000,0.9524,20
60,cautleya spicata,0.9091,1.0000,0.9524,30
62,black-eyed susan,0.9714,1.0000,0.9855,34
63,silverbush,0.8889,1.0000,0.9412,32
69,tree poppy,0.8936,1.0000,0.9438,42
101,blackberry lily,0.9333,1.0000,0.9655,28
