class_index,class_name,precision,recall,f1,support
3,sweet pea,0.3333,0.4167,0.3704,36
52,primula,0.9444,0.4658,0.6239,73
50,petunia,0.9741,0.4748,0.6384,238
2,canterbury bells,0.3030,0.5000,0.3774,20
83,columbine,0.7778,0.5303,0.6306,66
95,camellia,0.6667,0.5352,0.5938,71
42,sword lily,0.8696,0.5455,0.6704,110
66,spring crocus,0.8125,0.5909,0.6842,22
73,rose,0.8257,0.5960,0.6923,151
31,garden phlox,0.2632,0.6000,0.3659,25
38,siam tulip,0.6190,0.6190,0.6190,21
81,clematis,0.8143,0.6196,0.7037,92
30,carnation,0.8000,0.6250,0.7018,32
82,hibiscus,0.7609,0.6306,0.6897,111
10,snapdragon,0.8113,0.6418,0.7167,67
71,azalea,0.6364,0.6447,0.6405,76
89,canna lily,0.7193,0.6613,0.6891,62
29,sweet william,0.7895,0.6923,0.7377,65
17,peruvian lily,0.8036,0.7258,0.7627,62
87,cyclamen,0.7000,0.7313,0.7153,134
94,bougainvillea,0.8247,0.7407,0.7805,108
86,magnolia,0.6400,0.7442,0.6882,43
18,balloon flower,0.6667,0.7586,0.7097,29
96,mallow,0.5833,0.7609,0.6604,46
39,lenten rose,0.6000,0.7660,0.6729,47
61,japanese anemone,0.7297,0.7714,0.7500,35
67,bearded iris,0.9000,0.7941,0.8438,34
77,lotus,0.8774,0.7949,0.8341,117
44,bolero deep blue,0.6667,0.8000,0.7273,20
90,hippeastrum,0.8491,0.8036,0.8257,56
97,mexican petunia,0.8333,0.8065,0.8197,62
92,ball moss,0.8077,0.8077,0.8077,26
25,corn poppy,0.6071,0.8095,0.6939,21
75,morning glory,0.9000,0.8276,0.8623,87
37,great masterwort,0.6667,0.8333,0.7407,36
40,barbeton daisy,0.9890,0.8411,0.9091,107
43,poinsettia,0.8493,0.8493,0.8493,73
35,ruby-lipped cattleya,0.8704,0.8545,0.8624,55
54,pelargonium,0.8627,0.8627,0.8627,51
22,fritillary,0.9394,0.8732,0.9051,71
64,californian poppy,0.9231,0.8780,0.9000,82
11,colt's foot,0.9833,0.8806,0.9291,67
88,watercress,0.8239,0.8841,0.8529,164
72,water lily,0.9506,0.8851,0.9167,174
79,anthurium,0.8352,0.8941,0.8636,85
100,trumpet creeper,0.5000,0.8947,0.6415,38
0,pink primrose,0.6923,0.9000,0.7826,20
1,hard-leaved pocket orchid,1.0000,0.9000,0.9474,40
33,mexican aster,0.8571,0.9000,0.8780,20
98,bromelia,0.9070,0.9070,0.9070,43
76,passion flower,0.9906,0.9091,0.9481,231
74,thorn apple,0.8835,0.9100,0.8966,100
4,english marigold,0.8542,0.9111,0.8817,45
93,foxglove,0.9155,0.9155,0.9155,142
5,tiger lily,0.8519,0.9200,0.8846,25
85,tree mallow,0.6604,0.9211,0.7692,38
47,buttercup,0.9216,0.9216,0.9216,51
21,pincushion flower,0.7347,0.9231,0.8182,39
32,love in the mist,0.9231,0.9231,0.9231,26
41,daffodil,0.7347,0.9231,0.8182,39
28,artichoke,0.9818,0.9310,0.9558,58
56,gaura,0.8462,0.9362,0.8889,47
20,fire lily,0.8636,0.9500,0.9048,20
53,sunflower,0.9750,0.9512,0.9630,41
15,globe-flower,0.4348,0.9524,0.5970,21
24,grape hyacinth,0.7692,0.9524,0.8511,21
84,desert-rose,0.4505,0.9535,0.6119,43
16,purple coneflower,1.0000,0.9538,0.9764,65
51,wild pansy,1.0000,0.9538,0.9764,65
91,bee balm,0.9565,0.9565,0.9565,46
45,wallflower,0.8989,0.9602,0.9286,176
13,spear thistle,0.8710,0.9643,0.9153,28
12,king protea,0.9032,0.9655,0.9333,29
19,giant white arum lily,0.8140,0.9722,0.8861,36
36,cape flower,0.8776,0.9773,0.9247,88
55,bishop of llandaff,0.9062,0.9775,0.9405,89
27,stemless gentian,0.7031,0.9783,0.8182,46
70,gazania,1.0000,0.9828,0.9913,58
49,common dandelion,0.9103,0.9861,0.9467,72
6,moon orchid,0.6061,1.0000,0.7547,20
7,bird of paradise,0.9420,1.0000,0.9701,65
8,monkshood,0.6047,1.0000,0.7536,26
9,globe thistle,0.8333,1.0000,0.9091,25
14,yellow iris,0.8788,1.0000,0.9355,29
23,red ginger,0.6667,1.0000,0.8000,22
26,prince of wales feathers,0.9091,1.0000,0.9524,20
34,alpine sea holly,0.9583,1.0000,0.9787,23
46,marigold,1.0000,1.0000,1.0000,47
48,oxeye daisy,0.8529,1.0000,0.9206,29
57,geranium,0.9038,1.0000,0.9495,94
58,orange dahlia,0.9592,1.0000,0.9792,47
59,pink-yellow dahlia?,0.9674,1.0000,0.9834,89
60,cautleya spicata,0.8824,1.0000,0.9375,30
62,black-eyed susan,1.0000,1.0000,1.0000,34
63,silverbush,0.8649,1.0000,0.9275,32
65,osteospermum,0.8367,1.0000,0.9111,41
68,windflower,0.8500,1.0000,0.9189,34
69,tree poppy,0.9130,1.0000,0.9545,42
78,toad lily,0.8750,1.0000,0.9333,21
80,frangipani,0.9799,1.0000,0.9898,146
99,blanket flower,0.9355,1.0000,0.9667,29
101,blackberry lily,1.0000,1.0000,1.0000,28
