class_index,class_name,precision,recall,f1,support
15,globe-flower,0.0000,0.0000,0.0000,21
27,stemless gentian,0.0000,0.0000,0.0000,46
31,garden phlox,0.0000,0.0000,0.0000,25
38,siam tulip,0.0000,0.0000,0.0000,21
42,sword lily,0.0000,0.0000,0.0000,110
61,japanese anemone,0.0000,0.0000,0.0000,35
72,water lily,0.0000,0.0000,0.0000,174
87,cyclamen,0.0000,0.0000,0.0000,134
99,blanket flower,0.0000,0.0000,0.0000,29
100,trumpet creeper,0.0000,0.0000,0.0000,38
82,hibiscus,0.3333,0.0090,0.0175,111
76,passion flower,0.6000,0.0130,0.0254,231
95,camellia,0.0833,0.0141,0.0241,71
10,snapdragon,0.3333,0.0149,0.0286,67
35,ruby-lipped cattleya,1.0000,0.0182,0.0357,55
39,lenten rose,0.2000,0.0213,0.0385,47
81,clematis,0.1333,0.0217,0.0374,92
84,desert-rose,0.1429,0.0233,0.0400,43
86,magnolia,0.2500,0.0233,0.0426,43
79,anthurium,0.1053,0.0235,0.0385,85
85,tree mallow,0.1250,0.0263,0.0435,38
40,barbeton daisy,0.3333,0.0280,0.0517,107
93,foxglove,0.1818,0.0282,0.0488,142
83,columbine,0.0328,0.0303,0.0315,66
30,carnation,0.5000,0.0312,0.0588,32
89,canna lily,0.2857,0.0323,0.0580,62
75,morning glory,0.2308,0.0345,0.0600,87
52,primula,0.2727,0.0411,0.0714,73
49,common dandelion,1.0000,0.0417,0.0800,72
17,peruvian lily,0.0417,0.0484,0.0448,62
33,mexican aster,0.0667,0.0500,0.0571,20
44,bolero deep blue,0.0135,0.0500,0.0213,20
3,sweet pea,0.2500,0.0556,0.0909,36
22,fritillary,0.2222,0.0563,0.0899,71
48,oxeye daisy,0.5000,0.0690,0.1212,29
41,daffodil,0.0909,0.0769,0.0833,39
71,azalea,0.0759,0.0789,0.0774,76
19,giant white arum lily,0.1500,0.0833,0.1071,36
67,bearded iris,0.2308,0.0882,0.1277,34
94,bougainvillea,0.6250,0.0926,0.1613,108
18,balloon flower,0.0545,0.1034,0.0714,29
50,petunia,0.5200,0.1092,0.1806,238
37,great masterwort,0.1379,0.1111,0.1231,36
66,spring crocus,0.0423,0.1364,0.0645,22
98,bromelia,0.0612,0.1395,0.0851,43
69,tree poppy,0.4000,0.1429,0.2105,42
26,prince of wales feathers,0.2727,0.1500,0.1935,20
32,love in the mist,0.1333,0.1538,0.1429,26
91,bee balm,0.2353,0.1739,0.2000,46
51,wild pansy,0.2727,0.1846,0.2202,65
73,rose,0.2333,0.1854,0.2066,151
46,marigold,0.1343,0.1915,0.1579,47
97,mexican petunia,0.2553,0.1935,0.2202,62
88,watercress,0.5517,0.1951,0.2883,164
96,mallow,0.0756,0.1957,0.1091,46
16,purple coneflower,0.4375,0.2154,0.2887,65
23,red ginger,0.1163,0.2273,0.1538,22
92,ball moss,0.0594,0.2308,0.0945,26
74,thorn apple,0.3529,0.2400,0.2857,100
2,canterbury bells,0.0641,0.2500,0.1020,20
28,artichoke,0.2143,0.2586,0.2344,58
5,tiger lily,0.1628,0.2800,0.2059,25
101,blackberry lily,0.1509,0.2857,0.1975,28
8,monkshood,0.2963,0.3077,0.3019,26
77,lotus,0.4675,0.3077,0.3711,117
7,bird of paradise,0.4400,0.3385,0.3826,65
0,pink primrose,0.1207,0.3500,0.1795,20
20,fire lily,0.1556,0.3500,0.2154,20
13,spear thistle,0.2778,0.3571,0.3125,28
45,wallflower,0.5207,0.3580,0.4242,176
78,toad lily,0.2051,0.3810,0.2667,21
43,poinsettia,0.1495,0.3973,0.2172,73
21,pincushion flower,0.0842,0.4103,0.1397,39
53,sunflower,0.6071,0.4146,0.4928,41
1,hard-leaved pocket orchid,0.3208,0.4250,0.3656,40
14,yellow iris,0.1429,0.4483,0.2167,29
80,frangipani,0.5847,0.4726,0.5227,146
34,alpine sea holly,0.1341,0.4783,0.2095,23
58,orange dahlia,0.6970,0.4894,0.5750,47
68,windflower,0.1118,0.5000,0.1828,34
29,sweet william,0.1429,0.5077,0.2230,65
4,english marigold,0.1608,0.5111,0.2447,45
90,hippeastrum,0.4833,0.5179,0.5000,56
9,globe thistle,0.1238,0.5200,0.2000,25
25,corn poppy,0.0719,0.5238,0.1264,21
47,buttercup,0.1588,0.5294,0.2443,51
24,grape hyacinth,0.0638,0.5714,0.1148,21
12,king protea,0.1589,0.5862,0.2500,29
11,colt's foot,0.4000,0.6269,0.4884,67
70,gazania,0.4935,0.6552,0.5630,58
54,pelargonium,0.3820,0.6667,0.4857,51
56,gaura,0.2667,0.6809,0.3832,47
64,californian poppy,0.4839,0.7317,0.5825,82
6,moon orchid,0.0843,0.7500,0.1515,20
36,cape flower,0.5564,0.8409,0.6697,88
59,pink-yellow dahlia?,0.5859,0.8427,0.6912,89
63,silverbush,0.1357,0.8438,0.2338,32
62,black-eyed susan,0.4028,0.8529,0.5472,34
57,geranium,0.6891,0.8723,0.7700,94
55,bishop of llandaff,0.5896,0.8876,0.7085,89
60,cautleya spicata,0.6136,0.9000,0.7297,30
65,osteospermum,0.2908,1.0000,0.4505,41
