run_group,tag,run_dir,status,finished_at,fingerprint,reused_from,model,dataset,optimizer,lr,weight_decay,batch_size,max_epoch,epochs_run,pretrained,finetune_mode,augmentation,seed,best_epoch,eval_test_loss,eval_test_acc,macro_recall,weighted_recall,history_min_test_loss,history_max_test_acc,total_time_s,error
baseline,baseline,baseline/baseline,success,2026-09-14 20:02:56,68700940827bd5c1,,resnet18,flowers102,sgd,0.001,0.0001,8,50,33,True,full,none,42,28,0.588741,0.856562,0.881896,0.856562,0.588741,0.85705,1314.87,
lr,lr_0.01,lr/lr_0.01,success,2026-09-14 20:24:51,b1ce37746e533f2d,,resnet18,flowers102,sgd,0.01,0.0001,8,50,20,True,full,none,42,15,1.308391,0.699626,0.735256,0.699626,1.308391,0.713449,1377.36,
lr,lr_0.001,lr/lr_0.001,success,2026-09-14 20:47:48,68700940827bd5c1,baseline/baseline,resnet18,flowers102,sgd,0.001,0.0001,8,50,33,True,full,none,42,28,0.588741,0.856562,0.881896,0.856562,0.588741,0.85705,0.0,
lr,lr_0.0001,lr/lr_0.0001,success,2026-09-14 20:47:49,05856ee7fa017846,,resnet18,flowers102,sgd,0.0001,0.0001,8,50,50,True,full,none,42,50,0.933748,0.832493,0.85591,0.832493,0.933748,0.832656,2331.06,
pretrained,pretrained_true,pretrained/pretrained_true,success,2026-09-14 21:26:40,68700940827bd5c1,baseline/baseline,resnet18,flowers102,sgd,0.001,0.0001,8,50,33,True,full,none,42,28,0.588741,0.856562,0.881896,0.856562,0.588741,0.85705,0.0,
pretrained,pretrained_false,pretrained/pretrained_false,success,2026-09-14 21:26:40,50a136cf23bb9caf,,resnet18,flowers102,sgd,0.001,0.0001,8,50,22,False,full,none,42,17,3.230727,0.246544,0.272389,0.246544,3.230727,0.271426,825.43,
augmentation,aug_none,augmentation/aug_none,success,2026-09-14 21:40:25,68700940827bd5c1,baseline/baseline,resnet18,flowers102,sgd,0.001,0.0001,8,50,33,True,full,none,42,28,0.588741,0.856562,0.881896,0.856562,0.588741,0.85705,0.0,
augmentation,aug_light,augmentation/aug_light,success,2026-09-14 21:40:25,a8b2ac225ee2036c,,resnet18,flowers102,sgd,0.001,0.0001,8,50,33,True,full,light,42,28,0.428108,0.891852,0.913355,0.891852,0.428108,0.891852,1224.53,
augmentation,aug_standard,augmentation/aug_standard,success,2026-09-14 22:00:50,ee1c9ac0a5295901,,resnet18,flowers102,sgd,0.001,0.0001,8,50,25,True,full,standard,42,20,0.453251,0.885835,0.901362,0.885835,0.453251,0.885835,946.03,
architecture,arch_resnet18_scratch,architecture/arch_resnet18_scratch,success,2026-09-14 22:16:36,50a136cf23bb9caf,pretrained/pretrained_false,resnet18,flowers102,sgd,0.001,0.0001,8,50,22,False,full,none,42,17,3.230727,0.246544,0.272389,0.246544,3.230727,0.271426,0.0,
architecture,arch_alexnet,architecture/arch_alexnet,success,2026-09-14 22:16:36,b1b1e3dcb75320a1,,alexnet,flowers102,sgd,0.001,0.0001,8,50,40,,full,none,42,35,3.415766,0.181168,0.203322,0.181168,3.415766,0.224101,1432.96,
finetune,ft_feature_extract,finetune/ft_feature_extract,success,2026-09-14 22:40:29,50cc285edd44f718,,resnet18,flowers102,sgd,0.001,0.0001,8,50,50,True,feature_extract,none,42,49,0.92006,0.799642,0.819265,0.799642,0.92006,0.799642,1714.57,
finetune,ft_full,finetune/ft_full,success,2026-09-14 23:09:03,68700940827bd5c1,baseline/baseline,resnet18,flowers102,sgd,0.001,0.0001,8,50,33,True,full,none,42,28,0.588741,0.856562,0.881896,0.856562,0.588741,0.85705,0.0,
