class_index,class_name,precision,recall,f1,support
2,canterbury bells,0.3077,0.2000,0.2424,20
3,sweet pea,0.5000,0.4444,0.4706,36
52,primula,0.9750,0.5342,0.6903,73
50,petunia,0.9701,0.5462,0.6989,238
31,garden phlox,0.5833,0.5600,0.5714,25
42,sword lily,0.8590,0.6091,0.7128,110
82,hibiscus,0.8193,0.6126,0.7010,111
73,rose,0.8468,0.6225,0.7176,151
95,camellia,0.7031,0.6338,0.6667,71
10,snapdragon,0.8654,0.6716,0.7563,67
83,columbine,0.8214,0.6970,0.7541,66
71,azalea,0.7910,0.6974,0.7413,76
87,cyclamen,0.7540,0.7090,0.7308,134
18,balloon flower,0.6000,0.7241,0.6562,29
89,canna lily,0.7302,0.7419,0.7360,62
30,carnation,0.5455,0.7500,0.6316,32
29,sweet william,0.7206,0.7538,0.7368,65
94,bougainvillea,0.9011,0.7593,0.8241,108
92,ball moss,1.0000,0.7692,0.8696,26
96,mallow,0.5455,0.7826,0.6429,46
77,lotus,0.9300,0.7949,0.8571,117
37,great masterwort,0.7632,0.8056,0.7838,36
25,corn poppy,0.4595,0.8095,0.5862,21
81,clematis,0.9146,0.8152,0.8621,92
39,lenten rose,0.7647,0.8298,0.7959,47
44,bolero deep blue,0.7083,0.8500,0.7727,20
17,peruvian lily,0.8413,0.8548,0.8480,62
97,mexican petunia,0.8689,0.8548,0.8618,62
38,siam tulip,0.6429,0.8571,0.7347,21
61,japanese anemone,0.9091,0.8571,0.8824,35
75,morning glory,0.8824,0.8621,0.8721,87
100,trumpet creeper,0.6226,0.8684,0.7253,38
22,fritillary,0.9254,0.8732,0.8986,71
90,hippeastrum,0.7903,0.8750,0.8305,56
43,poinsettia,0.8312,0.8767,0.8533,73
67,bearded iris,0.9375,0.8824,0.9091,34
86,magnolia,0.6552,0.8837,0.7525,43
88,watercress,0.8788,0.8841,0.8815,164
4,english marigold,0.8333,0.8889,0.8602,45
40,barbeton daisy,0.9796,0.8972,0.9366,107
33,mexican aster,0.9474,0.9000,0.9231,20
93,foxglove,0.9343,0.9014,0.9176,142
54,pelargonium,0.8846,0.9020,0.8932,51
64,californian poppy,0.9024,0.9024,0.9024,82
15,globe-flower,0.5278,0.9048,0.6667,21
66,spring crocus,0.7692,0.9091,0.8333,22
76,passion flower,0.9953,0.9091,0.9502,231
91,bee balm,0.9545,0.9130,0.9333,46
5,tiger lily,0.8519,0.9200,0.8846,25
8,monkshood,0.6667,0.9231,0.7742,26
41,daffodil,0.6316,0.9231,0.7500,39
11,colt's foot,0.9841,0.9254,0.9538,67
35,ruby-lipped cattleya,0.8644,0.9273,0.8947,55
84,desert-rose,0.5479,0.9302,0.6897,43
28,artichoke,0.9474,0.9310,0.9391,58
47,buttercup,0.8276,0.9412,0.8807,51
45,wallflower,0.9432,0.9432,0.9432,176
19,giant white arum lily,0.8500,0.9444,0.8947,36
85,tree mallow,0.7500,0.9474,0.8372,38
0,pink primrose,0.6552,0.9500,0.7755,20
1,hard-leaved pocket orchid,1.0000,0.9500,0.9744,40
79,anthurium,0.7941,0.9529,0.8663,85
98,bromelia,0.8913,0.9535,0.9213,43
72,water lily,0.9121,0.9540,0.9326,174
56,gaura,0.8824,0.9574,0.9184,47
13,spear thistle,0.8710,0.9643,0.9153,28
12,king protea,1.0000,0.9655,0.9825,29
55,bishop of llandaff,0.8776,0.9663,0.9198,89
51,wild pansy,0.9844,0.9692,0.9767,65
74,thorn apple,0.8661,0.9700,0.9151,100
68,windflower,0.8684,0.9706,0.9167,34
53,sunflower,0.9302,0.9756,0.9524,41
36,cape flower,0.9348,0.9773,0.9556,88
27,stemless gentian,0.7500,0.9783,0.8491,46
16,purple coneflower,1.0000,0.9846,0.9922,65
49,common dandelion,0.9595,0.9861,0.9726,72
57,geranium,0.9789,0.9894,0.9841,94
6,moon orchid,0.6667,1.0000,0.8000,20
7,bird of paradise,0.9701,1.0000,0.9848,65
9,globe thistle,0.6944,1.0000,0.8197,25
14,yellow iris,0.7838,1.0000,0.8788,29
20,fire lily,0.9091,1.0000,0.9524,20
21,pincushion flower,0.7222,1.0000,0.8387,39
23,red ginger,0.7857,1.0000,0.8800,22
24,grape hyacinth,0.8750,1.0000,0.9333,21
26,prince of wales feathers,0.8696,1.0000,0.9302,20
32,love in the mist,0.9286,1.0000,0.9630,26
34,alpine sea holly,0.8846,1.0000,0.9388,23
46,marigold,0.9792,1.0000,0.9895,47
48,oxeye daisy,0.9062,1.0000,0.9508,29
58,orange dahlia,1.0000,1.0000,1.0000,47
59,pink-yellow dahlia?,0.9468,1.0000,0.9727,89
60,cautleya spicata,1.0000,1.0000,1.0000,30
62,black-eyed susan,1.0000,1.0000,1.0000,34
63,silverbush,0.9412,1.0000,0.9697,32
65,osteospermum,0.8723,1.0000,0.9318,41
69,tree poppy,0.9767,1.0000,0.9882,42
70,gazania,0.9831,1.0000,0.9915,58
78,toad lily,0.9545,1.0000,0.9767,21
80,frangipani,0.9865,1.0000,0.9932,146
99,blanket flower,1.0000,1.0000,1.0000,29
101,blackberry lily,0.9333,1.0000,0.9655,28
